D001	BAH	FRANCE	BALDE	PITA	768	12	4	2021	12	4	2021	0	0	0	600000	0	0	0	1
D002	GHGH	GHGH	GHHG	GHGH	87	12	3	2020	0	0	0	0	0	0	900000	0	0	0	0
22	ZEE	jh	hgvh	rdrrf	2	1	8	2021	0	0	0	0	0	0	3333	0	0	0	0
11	ZZAZ	gfcg	lkjo	ji	2	1	8	2021	0	0	0	0	0	0	1111	887	224	0	0
1ZZ	TRTT	UUU	PP	OO	66	5	8	2021	0	0	0	0	0	0	55555	0	0	0	0
RRT5	66	TRT	UU	TTTR	54	5	8	2021	0	0	0	0	0	0	67777	0	0	0	0
ZZ	d	d	d	s	4	5	8	2021	0	0	0	0	0	0	777	0	0	0	0
AZOU	ASSANE	PIKINE	SORY	FRANCE	7742	6	8	2021	0	0	0	0	0	0	1000000	956667	43333	0	0
MAMA	MAMAN	DAKAR	775672853	PAPA	123456	7	8	2021	0	0	0	0	0	0	5000000	0	5000000	0	0
BBBB	ASSANE	MAMOU	JACK	CONAKRY	2345	17	8	2021	0	0	0	0	0	0	3000000	0	0	0	0
d001	sow	telico	barry	mamou	12	1	6	2023	1	6	2023	0	0	0	50000	0	0	0	1
d002	barry	mamou	diallo	kindia	132	1	6	2023	0	0	0	1	6	2023	30000	29800	200	1	0
